SubjectID,Treatment,session,Position,Age,Gender,Major,ETF,PreviousExperiment,Round,MatchedWith,pair,Controller,ScheduleNum,Agreement,Transfer,Offers,Token,Flag,s1,s2,s3,s4,s5,s6,s7,Best SchNum,onehundrednumber,max,chosen,difference,efficiency
8,Certainty,2,L,19,0,o,0,2,2,12,14,1,4,1,0,6,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
8,Certainty,2,L,19,0,o,0,2,3,10,15,1,4,1,30,3,25,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
9,Certainty,2,L,22,0,NRS,0,3,1,12,16,1,3,1,15,11,35,,80,90,100,95,90,95,80,3,3,100,100,0,1
9,Certainty,2,L,22,0,NRS,0,3,2,10,17,1,4,1,0,1,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
9,Certainty,2,L,22,0,NRS,0,3,3,11,18,0,6,1,31,19,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
10,Certainty,2,H,21,0,NRS,0,0,1,7,10,1,4,1,0,1,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
10,Certainty,2,H,21,0,NRS,0,0,2,9,17,0,4,1,0,1,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
10,Certainty,2,H,21,0,NRS,0,0,3,8,15,0,4,1,30,3,55,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
11,Certainty,2,H,19,1,BIO,1,0,1,8,13,1,5,1,45,4,25,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
11,Certainty,2,H,19,1,BIO,1,0,2,7,11,1,5,1,15,2,65,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
11,Certainty,2,H,19,1,BIO,1,0,3,9,18,1,6,1,31,19,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
12,Certainty,2,H,21,0,ENRE,1,6,1,9,16,0,3,1,15,11,65,,80,90,100,95,90,95,80,3,3,100,100,0,1
12,Certainty,2,H,21,0,ENRE,1,6,2,8,14,0,4,1,0,6,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
12,Certainty,2,H,21,0,ENRE,1,6,3,7,12,1,4,1,0,1,55,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
13,Certainty,3,L,20,1,o,0,2,1,16,19,0,4,1,0,1,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
13,Certainty,3,L,20,1,o,0,2,2,17,20,0,2,1,5,15,15,,90,100,95,90,95,85,90,2,2,100,100,0,1
13,Certainty,3,L,20,1,o,0,2,3,18,21,1,4,1,20,2,25,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
14,Certainty,3,L,19,1,NRS,0,0,1,17,22,1,5,1,0,2,65,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
14,Certainty,3,L,19,1,NRS,0,0,2,18,23,0,3,1,10,4,30,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
14,Certainty,3,L,19,1,NRS,0,0,3,16,24,0,6,1,25,31,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
15,Certainty,3,L,18,1,o,1,1,1,18,25,0,4,1,15,6,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
15,Certainty,3,L,18,1,o,1,1,2,16,26,1,4,1,0,3,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
15,Certainty,3,L,18,1,o,1,1,3,17,27,0,5,1,10,1,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
16,Certainty,3,H,19,1,ENRE,1,0,1,13,19,1,4,1,0,1,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
16,Certainty,3,H,19,1,ENRE,1,0,2,15,26,0,4,1,0,3,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
16,Certainty,3,H,19,1,ENRE,1,0,3,14,24,1,6,1,25,31,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
17,Certainty,3,H,18,0,o,0,2,1,14,22,0,5,1,0,2,25,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
17,Certainty,3,H,18,0,o,0,2,2,13,20,1,2,1,5,15,85,,90,100,95,90,95,85,90,2,2,100,100,0,1
17,Certainty,3,H,18,0,o,0,2,3,15,27,1,5,1,10,1,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
18,Certainty,3,H,19,1,NRS,0,1,1,15,25,1,4,1,15,6,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
18,Certainty,3,H,19,1,NRS,0,1,2,14,23,1,3,1,10,4,65,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
18,Certainty,3,H,19,1,NRS,0,1,3,13,21,0,4,1,20,2,55,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
19,Uncertainty,4,L,22,1,o,1,0,1,22,28,1,4,1,15,5,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
19,Uncertainty,4,L,22,1,o,1,0,2,23,29,1,5,1,5,7,75,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
19,Uncertainty,4,L,22,1,o,1,0,3,24,30,1,6,1,5,8,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
20,Uncertainty,4,L,20,0,BIO,0,1,1,23,31,0,5,1,40,1,65,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
20,Uncertainty,4,L,20,0,BIO,0,1,2,24,32,1,4,1,8,5,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
20,Uncertainty,4,L,20,0,BIO,0,1,3,22,33,1,5,1,0,6,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
21,Uncertainty,4,L,19,1,o,0,0,1,24,34,0,3,0,0,24,35,,80,90,100,95,90,95,80,3,3,100,100,0,1
21,Uncertainty,4,L,19,1,o,0,0,2,22,35,1,4,1,8,4,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
21,Uncertainty,4,L,19,1,o,0,0,3,23,36,0,5,1,14,3,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
22,Uncertainty,4,H,21,1,o,0,0,1,19,28,0,4,1,15,5,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
22,Uncertainty,4,H,21,1,o,0,0,2,21,35,0,4,1,8,4,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
22,Uncertainty,4,H,21,1,o,0,0,3,20,33,0,5,1,0,6,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
23,Uncertainty,4,H,22,0,BIO,0,2,1,20,31,1,5,1,40,1,25,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
23,Uncertainty,4,H,22,0,BIO,0,2,2,19,29,0,5,1,5,7,20,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
23,Uncertainty,4,H,22,0,BIO,0,2,3,21,36,1,5,1,14,3,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
24,Uncertainty,4,H,21,0,o,0,2,1,21,34,1,3,0,0,24,65,,80,90,100,95,90,95,80,3,3,100,100,0,1
24,Uncertainty,4,H,21,0,o,0,2,2,20,32,0,4,1,8,5,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
24,Uncertainty,4,H,21,0,o,0,2,3,19,30,0,6,1,5,8,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
25,Uncertainty,5,L,20,0,o,0,0,1,26,38,1,6,0,0,13,75,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
25,Uncertainty,5,L,20,0,o,0,0,2,27,39,1,4,1,25,6,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
25,Uncertainty,5,L,20,0,o,0,0,3,28,40,1,6,1,0,6,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
26,Uncertainty,5,H,21,0,o,0,0,1,25,38,0,6,0,0,13,20,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
26,Uncertainty,5,L,21,0,o,0,0,2,28,41,1,5,1,10,8,75,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
26,Uncertainty,5,L,21,0,o,0,0,3,27,42,0,3,0,0,5,15,,80,80,75,80,80,100,80,6,6,100,75,-25,0.75
27,Uncertainty,5,L,22,0,o,1,2,1,28,43,0,4,1,10,1,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
27,Uncertainty,5,H,22,0,o,1,2,2,25,39,0,4,1,25,6,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
27,Uncertainty,5,H,22,0,o,1,2,3,26,42,1,3,0,0,6,60,,80,80,75,80,80,100,80,6,6,100,75,-25,0.75
28,Uncertainty,5,H,23,0,o,1,1,1,27,43,1,4,1,10,1,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
28,Uncertainty,5,H,23,0,o,1,1,2,26,41,0,5,1,10,8,20,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
28,Uncertainty,5,H,23,0,o,1,1,3,25,40,0,6,1,0,6,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
29,Ambiguity,6,L,20,1,o,0,0,1,32,44,1,4,1,8,2,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
29,Ambiguity,6,L,20,1,o,0,0,2,33,45,1,1,1,45,6,0,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
29,Ambiguity,6,L,20,1,o,0,0,3,34,46,0,6,1,20,2,75,,80,80,75,80,80,100,80,6,6,100,100,0,1
30,Ambiguity,6,L,20,0,BIO,0,0,1,33,47,0,3,1,65,3,35,,80,90,100,95,90,95,80,3,3,100,100,0,1
30,Ambiguity,6,L,20,0,BIO,0,0,2,34,48,0,4,1,40,1,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
30,Ambiguity,6,L,20,0,BIO,0,0,3,32,49,1,1,1,60,5,0,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
31,Ambiguity,6,L,22,1,o,0,1,1,34,50,1,4,1,25,4,40,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
31,Ambiguity,6,L,22,1,o,0,1,2,32,51,1,7,0,0,8,90,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
31,Ambiguity,6,L,22,1,o,0,1,3,33,52,1,7,0,0,14,80,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
32,Ambiguity,6,H,20,1,o,0,0,1,29,44,0,4,1,8,2,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
32,Ambiguity,6,H,20,1,o,0,0,2,31,51,0,7,0,0,8,0,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
32,Ambiguity,6,H,20,1,o,0,0,3,30,49,0,1,1,60,5,80,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
33,Ambiguity,6,H,23,1,MAF,0,0,1,30,47,1,3,1,65,3,65,,80,90,100,95,90,95,80,3,3,100,100,0,1
33,Ambiguity,6,H,23,1,MAF,0,0,2,29,45,0,1,1,45,6,90,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
33,Ambiguity,6,H,23,1,MAF,0,0,3,31,52,0,7,0,0,14,0,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
34,Ambiguity,6,H,23,1,BIO,0,2,1,31,50,0,4,1,25,4,55,,80,90,100,95,90,95,80,3,3,100,95,-5,0.95
34,Ambiguity,6,H,23,1,BIO,0,2,2,30,48,1,4,1,40,1,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
34,Ambiguity,6,H,23,1,BIO,0,2,3,29,46,1,6,1,20,2,25,,80,80,75,80,80,100,80,6,6,100,100,0,1
35,Ambiguity,7,L,23,0,o,0,0,1,38,53,1,7,0,0,7,80,,80,90,100,95,90,95,80,3,3,100,80,-20,0.8
35,Ambiguity,7,L,23,0,o,0,0,2,39,54,0,4,1,0,2,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
35,Ambiguity,7,L,23,0,o,0,0,3,40,55,1,7,0,0,3,80,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
36,Ambiguity,7,L,22,0,o,0,0,1,39,56,1,1,1,80,1,0,,80,90,100,95,90,95,80,3,3,100,80,-20,0.8
36,Ambiguity,7,L,22,0,o,0,0,2,40,57,1,5,1,45,3,75,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
36,Ambiguity,7,L,22,0,o,0,0,3,38,58,0,5,1,25,1,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
37,Ambiguity,7,L,18,0,ENRE,0,0,1,40,59,0,5,1,40,5,65,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
37,Ambiguity,7,L,18,0,ENRE,0,0,2,38,60,1,4,1,10,11,50,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
37,Ambiguity,7,L,18,0,ENRE,0,0,3,39,61,0,5,1,10,1,45,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
38,Ambiguity,7,H,19,0,o,1,0,1,35,53,0,7,0,0,7,0,,80,90,100,95,90,95,80,3,3,100,80,-20,0.8
38,Ambiguity,7,H,19,0,o,1,0,2,37,60,0,4,1,10,11,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
38,Ambiguity,7,H,19,0,o,1,0,3,36,58,1,5,1,25,1,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
39,Ambiguity,7,H,19,0,o,0,0,1,36,56,0,1,1,80,1,80,,80,90,100,95,90,95,80,3,3,100,80,-20,0.8
39,Ambiguity,7,H,19,0,o,0,0,2,35,54,1,4,1,0,2,40,,90,100,95,90,95,85,90,2,2,100,90,-10,0.9
39,Ambiguity,7,H,19,0,o,0,0,3,37,61,1,5,1,10,1,35,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
40,Ambiguity,7,H,23,1,MAF,0,0,1,37,59,1,5,1,40,5,25,,80,90,100,95,90,95,80,3,3,100,90,-10,0.9
40,Ambiguity,7,H,23,1,MAF,0,0,2,36,57,0,5,1,45,3,20,,90,100,95,90,95,85,90,2,2,100,95,-5,0.95
40,Ambiguity,7,H,23,1,MAF,0,0,3,35,55,0,7,0,0,3,0,,80,80,75,80,80,100,80,6,6,100,80,-20,0.8
